LoginName,Password,Attribute,Connection,Access(Allow_All)(CHART:BOARD:ORDER:ORDER_RESULT:PROFIT:POSITION:STDOUT),RealName,SystemParameters,Seed,InitialCash,TradingUnit,FeePerUnit,MarginRate,MaxLoan,Interest
h1,h1,Human,Remote,,h1,,,1000000000,1000,0,300000,30000000,0.1
URandomAgent,mypasswd1,Machine,Local,,strategy_v2.URandomAgent,,1,1000000000,1000,0,300000,30000000,0.1
U22M51878,mypasswd1,Machine,Local,,strategy_v2.U22M51878,,1,1000000000,1000,0,300000,30000000,0.1
UMovingAverageAgent,mypasswd2,Machine,Local,,strategy_v2.UMovingAverageAgent,,2,1000000000,1000,0,300000,30000000,0.1
TrendStrategy,passwd1,Machine,Local,,strategy.TrendStrategy,,1,1000000000,1000,0,300000,30000000,0.1
AntiTrendStrategy1,passwd2,Machine,Local,,strategy.AntiTrendStrategy,,2,1000000000,1000,0,300000,30000000,0.1
AntiTrendStrategy2,passwd3,Machine,Local,,strategy.AntiTrendStrategy,,3,1000000000,1000,0,300000,30000000,0.1
SRandomStrategy0000,passwd4,Machine,Local,,strategy.SRandomStrategy,,4,1000000000,1000,0,300000,30000000,0.1
SRandomStrategy0001,passwd5,Machine,Local,,strategy.SRandomStrategy,,5,1000000000,1000,0,300000,30000000,0.1
SRandomStrategy0002,passwd6,Machine,Local,,strategy.SRandomStrategy,,6,1000000000,1000,0,300000,30000000,0.1
RsiStrategy,passwd7,Machine,Local,,strategy.RsiStrategy,,7,1000000000,1000,0,300000,30000000,0.1
SRsiStrategy1,passwd8,Machine,Local,,strategy.SRsiStrategy,,8,1000000000,1000,0,300000,30000000,0.1
SRsiStrategy2,passwd9,Machine,Local,,strategy.SRsiStrategy,,9,1000000000,1000,0,300000,30000000,0.1
SRsiStrategy3,passwd10,Machine,Local,,strategy.SRsiStrategy,,10,1000000000,1000,0,300000,30000000,0.1
MovingAverageStrategy,passwd11,Machine,Local,,strategy.MovingAverageStrategy,,11,1000000000,1000,0,300000,30000000,0.1
SMovingAverageStrategy1,passwd12,Machine,Local,,strategy.SMovingAverageStrategy,,12,1000000000,1000,0,300000,30000000,0.1
SMovingAverageStrategy2,passwd13,Machine,Local,,strategy.SMovingAverageStrategy,,13,1000000000,1000,0,300000,30000000,0.1
SMovingAverageStrategy3,passwd14,Machine,Local,,strategy.SMovingAverageStrategy,,14,1000000000,1000,0,300000,30000000,0.1
SFSpreadStrategy1,passwd15,Machine,Local,,strategy.SFSpreadStrategy,,15,1000000000,1000,0,300000,30000000,0.1
SFSpreadStrategy2,passwd16,Machine,Local,,strategy.SFSpreadStrategy,,16,1000000000,1000,0,300000,30000000,0.1
DayTradeStrategy1,passwd17,Machine,Local,,strategy.DayTradeStrategy,,7,1000000000,1000,0,300000,30000000,0.1
DayTradeStrategy2,passwd18,Machine,Local,,strategy.DayTradeStrategy,,18,1000000000,1000,0,300000,30000000,0.1
